"TransactionNo","LogSalePrice","SalePrice","DateOfSale","NumberOfBedrooms","NumberOfBathrooms","NumberOfFloors","LivingSpace","TotalArea","AboveGroundFloor","ConstructionYear","RenovationYear","BasementSize","WaterfronView","View","ZipCode","RenovationFlag","WaterfrontView","SeattleFlag","DaysSinceSale","SaleYear","SaleMonth","condition","grade"
"1",1000102,12.5425448821514,280000,"20140916T000000","6","3","2",2400,9373,2400,1991,0,0,0,"0",98002,"No","0","No",901,2014,9,3,7
"5",1200019,13.3808740725558,647500,"20140508T000000","4","1.75","1",2060,26036,1160,1947,0,900,0,"0",98166,"No","0","No",1032,2014,5,4,8
"6",1200021,12.8992198260901,4e+05,"20140811T000000","3","1","1",1460,43000,1460,1952,0,0,0,"0",98166,"No","0","No",937,2014,8,3,7
"7",2800031,12.3673407931263,235000,"20150401T000000","3","1","1.5",1430,7599,1010,1930,0,420,0,"0",98168,"No","0","No",704,2015,4,4,6
"8",3600057,12.9054503758408,402500,"20150319T000000","4","2","1",1650,3504,760,1951,2013,890,0,"0",98144,"Yes","0","Yes",717,2015,3,3,7
"9",3600072,13.4298480771523,680000,"20150330T000000","4","2.75","1",2220,5310,1170,1951,0,1050,0,"0",98144,"No","0","Yes",706,2015,3,5,7
"10",3800008,12.0895388292742,178000,"20150224T000000","5","1.5","1",1990,18200,1990,1960,0,0,0,"0",98178,"No","0","Yes",740,2015,2,3,7
"11",5200087,13.0960194020647,487000,"20140709T000000","4","2.5","2",2540,5001,2540,2005,0,0,0,"0",98108,"No","0","Yes",970,2014,7,3,9
"12",6200017,12.5461099483159,281000,"20141112T000000","3","1","1.5",1340,21336,1340,1945,0,0,0,"0",98032,"No","0","No",844,2014,11,4,5
"13",7200080,12.3842188309136,239000,"20141104T000000","4","2","1.5",1980,10585,1980,1924,0,0,0,"0",98055,"No","0","No",852,2014,11,2,6
"14",7200179,11.9183905730784,150000,"20141016T000000","2","1","1",840,12750,840,1925,0,0,0,"0",98055,"No","0","No",871,2014,10,3,6
"18",7400062,12.6108708646506,299800,"20140521T000000","2","1","1",790,5240,790,1925,0,0,0,"0",98118,"No","0","Yes",1019,2014,5,4,6
"19",7600057,13.1615840905576,520000,"20140805T000000","3","2","2",1410,2700,1410,1902,0,0,0,"0",98122,"No","0","Yes",943,2014,8,4,7
"20",7600065,13.0497926845695,465000,"20140605T000000","3","2.25","2",1530,1245,1050,2014,0,480,0,"0",98122,"No","0","Yes",1004,2014,6,3,9
"21",7600125,13.3534750983677,630000,"20141218T000000","5","1","2",3020,4800,3020,1901,0,0,0,"0",98122,"No","0","Yes",808,2014,12,3,7
"22",7600136,12.9263484934784,411000,"20140718T000000","2","2","2",1130,1148,800,2007,0,330,0,"0",98122,"No","0","Yes",961,2014,7,3,9
"23",9000025,13.1143312057071,496000,"20141203T000000","2","1","2",1420,4635,1420,1941,1973,0,0,"0",98115,"Yes","0","Yes",823,2014,12,4,7
"24",11200070,13.2533916398107,570000,"20140721T000000","3","2.5","2",1530,3296,1530,1998,0,0,0,"0",98007,"No","0","No",958,2014,7,3,8
"25",11200290,13.210374254727,546000,"20140609T000000","3","2.5","2",1530,3464,1530,1998,0,0,0,"0",98007,"No","0","No",1000,2014,6,3,8
"26",11200400,13.3326243028875,617000,"20140923T000000","3","2.5","2",1910,4488,1910,1998,0,0,0,"0",98007,"No","0","No",894,2014,9,3,8
"27",11300120,13.3613802778748,635000,"20140630T000000","3","2.5","2",3350,4007,2550,2005,0,800,0,"0",98034,"No","0","No",979,2014,6,3,8
"28",11500240,13.6794044249673,872750,"20150428T000000","3","2.5","2",2870,13695,2870,1991,0,0,0,"0",98052,"No","0","No",677,2015,4,3,10
"29",11500890,13.644722236984,843000,"20150312T000000","3","2.5","2",3130,8750,3130,1991,0,0,0,"0",98052,"No","0","No",724,2015,3,3,10
